,"NOUN

mass noun
Biochemistry 
A compound consisting of an adenosine molecule bonded to three phosphate groups, present in all living tissue. The breakage of one phosphate linkage (to form adenosine diphosphate, ADP) provides energy for physiological processes such as muscular contraction.",8/19/2019,"adenosine triphosphate
(also ATP)",,,
,"o__ NOUN

Biology 
Any of a number of organized or specialized structures within a living cell.  
‘Scattered throughout the plasma in cells are __s called mitochondria.’",8/20/2019,organelle,,/ˌɔːɡəˈnɛl/ ,
7,"NOUN

mass noun
Biology 
The material or protoplasm within a living cell, excluding the nucleus. 細胞質  
‘Because tissues were lyophilized it was not possible to discriminate between cell walls and ___ in the root material.’",8/21/2019,cytoplasm,,/ˈsʌɪtə(ʊ)plaz(ə)m/,
0 7 8,"a__ VERB

[WITH OBJECT]
formal
1Repeal or do away with (a law, right, or formal agreement)
‘a proposal to ___ temporarily the right to strike’  
2Evade (a responsibility or duty)
‘we believe the board is __ing its responsibilities to its shareholders’",8/23/2019,abrogate,,,
,"NOUN

mass noun
1The surgical procedure of tying a _＊_ tightly around a blood vessel or other duct or tube in the body.
‘the ___ of the cystic duct’  
2Biochemistry 
The joining of two DNA strands or other molecules by a phosphate ester linkage.  
‘A mechanism leading to ___ sequence duplication may involve DNA damage followed by DNA synthesis, strand displacement, and ___.’",8/22/2019,ligation,＊ ligature,/lɪˈɡeɪʃ(ə)n/,
0 5,"NOUN

Biochemistry 
An enzyme involved in prostaglandin synthesis that introduces oxygen molecules into arachidonic acid at carbons 9 and 15, forms a peroxide bridge between carbons 9 and 11, and bonds carbons 8 and 12 to form a five-carbon ring. Abbreviated COX.",8/24/2019,cyclooxygenase,,/ˌsʌɪkləʊˈɒksɪdʒɪneɪz/ /ˌsʌɪkləʊˈɒksɪdʒəneɪz/,
,"NOUN

mass noun
1Biochemistry 
A crystalline compound found in blood and urine which is an intermediate in the metabolic breakdown of nucleic acids to uric acid.
A purine derivative; chemical formula: C₅H₄N₄O₂  
1.1count noun Any of the derivatives of ___, including caffeine and related alkaloids.",8/25/2019,xanthine,,/ˈzanθiːn/,
8,"p__ NOUN

Biochemistry 
A compound consisting of two or more amino acids linked in a chain, the carboxyl group of each acid being joined to the amino group of the next by a bond of the type OCNH.  
‘Among the amino acids of the ___, the most dramatic change was the Phe residue.’",8/27/2019,peptide,,,
,酢酸,8/26/2019,acetic acid,,,
,"ADJECTIVE & ADVERB

Biology 
(of a process) performed or taking place in a test tube, culture dish, or elsewhere outside a living organism.
as adjective ‘___ fertilization’
The opposite of in vivo
as adverb ‘the parasites could not be grown ___’
Origin
Late 19th century Latin, literally ‘in glass’.",8/28/2019,in vitro,,,
,"b__ NOUN

mass noun
A colourless volatile liquid hydrocarbon present in coal tar and petroleum, and used in chemical synthesis. Its use as a solvent has been reduced because of its carcinogenic properties.
Chemical formula: C₆H₆",8/29/2019,benzene,,/ˈbɛnziːn/ ,
,"NOUN

mass noun
1An insoluble substance which is the main constituent of plant cell walls and of vegetable fibres such as cotton. It is a polysaccharide consisting of chains of glucose monomers.  
2Paint or lacquer consisting principally of ___ acetate or nitrate in solution.",8/30/2019,cellulose,,,
0 0 2 6 7,"i__ NOUN

Chemistry 
A compound containing the group —N=C=S as a substituent or ligand.
‘Raw cabbage is rich in glucosinolate, which fermentation breaks down into __s and other cancer-fighting compounds.’
‘The pungency of wasabi, horseradish, Brussels sprouts, and mustards comes from compounds called __s.’",9/1/2019,isothiocyanate,,/ˌʌɪsə(ʊ)ˌθʌɪə(ʊ)ˈsʌɪəneɪt/ ,
,"NOUN

A nocturnal hoofed mammal with a stout body, sturdy limbs, and a short flexible proboscis, native to the forests of tropical America and Malaysia. バク",8/31/2019,tapir,,/ˈteɪpə/ /ˈteɪpɪə/,
8,"NOUN

usually __s
1A short, stiff hair on an animal's skin or a man's face.  
1.1A stiff animal hair, or a man-made substitute, used to make a brush.
‘a toothbrush with nylon __s’
mass noun ‘the heads are made with natural ___’",9/4/2019,bristle,,,
,"a__ NOUN

A segmented worm of the phylum _＊_, such as an earthworm or leech. 
‘Most biologists are familiar with only a few of the approximately 40 extant animal phyla such as __s, arthropods, molluscs, echinoderms and chordates.’",9/2/2019,annelid,＊ Annelida,/ˈan(ə)lɪd/,
0,"NOUN

Zoology 
Each of the second pair of appendages attached to the cephalothorax of most arachnids. They are variously specialized as pincers in scorpions, sensory organs in spiders, and locomotory organs in horseshoe crabs.",9/3/2019,pedipalp,,/ˈpɛdɪpalp/ /ˈpiːdɪpalp/,
,"NOUN

Zoology 
A minute multicellular aquatic animal of the phylum _＊_.輪形動物   
‘Ludwig's plan also calls for growing __s and copepod nauplii in ponds or indoor tanks and redesigning a device called a rotating drum filter to harvest them.’",9/5/2019,rotifer,＊ Rotifera,,
6 8,"u__ NOUN

Zoology 
Treated as plural: a subphylum or phylum of arthropods having unbranched (_＊_) limbs, comprising the insects and myriapods, and formerly (in Manton's original scheme) also the onychophorans.単枝亜門",6/7/2019,Uniramia,＊ uniramous,/ˌjuːnɪˈreɪmɪə/,
,"NOUN

With plural (or occasionally singular) concord: a large group of extinct multi-legged arthropods that occurred abundantly in Palaeozoic seas, typically having a flattened oval body with a solid head section (cephalon) with antennae and compound eyes, a flexible segmented thorax, and a solid tail section (pygidium), all of which are divided into three longitudinal lobes. Also treated as plural: animals of this group (collectively or individually); 三葉虫",9/6/2019,Trilobita,,/ˌtrʌɪlə(ʊ)ˈbʌɪtə/ /ˌtrɪlə(ʊ)ˈbʌɪtə/,
,"p__ PLURAL NOUN

Zoology 
A small class of myriapod invertebrates which resemble the centipedes. They are small soft-bodied animals with one pair of legs per segment, living chiefly in forest litter.エダヒゲムシ  
‘He presented evidence for a single origination of the tracheal system in Dignatha (___ + Diplopoda), a group whose monophyly is widely accepted.’",9/8/2019,Pauropoda,,/ˈpɔːrəpɒdə/ ,
,"PLURAL NOUN

Zoology 
A small class of myriapod invertebrates which resemble the centipedes. They are small eyeless animals with one pair of legs per segment, typically living in soil and leaf mould.
コムカデ綱  
‘Two of them, the ___ and Pauropoda, consist of tiny arthropods living in leaf litter and soil; both superficially resemble centipedes.’",9/9/2019,Symphyla,,/sɪmˈfʌɪlə/ ,
0 0 6,"NOUN

1Biology 
A principal taxonomic category that ranks above species and below family, and is denoted by a capitalized Latin name, e.g. Leo.  
1.1(in philosophical and general use) a class of things that have common characteristics and that can be divided into subordinate kinds.",9/10/2019,genus,,,
,"NOUN

mass noun
Biochemistry 
___, a nucleic acid present in all living cells. Its principal role is to act as a messenger carrying instructions from DNA for controlling the synthesis of proteins, although in some viruses ___ rather than DNA carries the genetic information.  
‘In 1959 Nirenberg began his investigations into the relationship between deoxyribonucleic acid, ___ and the production of proteins.’",9/11/2019,RNA Ribonucleic acid,,,
,"NOUN

Biochemistry 
An enzyme which brings about the formation of a particular polymer, especially DNA or RNA.
‘DNA ___’  
‘Replicative DNA __s are very accurate enzymes with error rates usually in the range of 10-5 per replicated nucleotide.’",9/12/2019,polymerase,,/ˈpɒlɪməreɪz/ /pəˈlɪməreɪz/ ,
,"_9_ NOUN

mass noun
Biochemistry 
A compound consisting of adenine combined with ribose, present in all living tissue in combined form as nucleotides.  
‘The nucleotide elements of DNA are ___, guanine, cytosine, and thymine, abbreviated A, G, C, and T, respectively.’",9/13/2019,adenosine,,/əˈdɛnə(ʊ)siːn/ ,
0,"NOUN

1Chemistry 
A salt or ester of phosphoric acid, containing PO₄³⁻ or a related anion or a group such as —OPO(OH)₂.  リン酸塩
2US dated An effervescent soft drink containing phosphoric acid, soda water, and flavouring.",9/14/2019,phosphate,,,
,"NOUN

mass noun
Biology 
The colourless material comprising the living part of a cell, including the cytoplasm, nucleus, and other organelles.  
‘It was eventually realised that the culprit was a non-cellular form of ‘life’ that could diffuse through the cell walls and membranes into the cell's ___.’原形質",9/15/2019,protoplasm,,,
,"l__ VERB

[WITH OBJECT]
technical
Freeze-dry (a substance)
‘the resulting precipitate was dissolved in benzene and __d to give a powder’  
‘Cell wall material was then __d and weighed.’",9/16/2019,"lyophilize
(British lyophilise)",,/lʌɪˈɒfɪlʌɪz/ ,
,"NOUN

1A thing used for tying or binding something tightly.
‘there was no sign of the ___ which strangled her’  
1.1A cord or thread used in surgery, especially to tie up a bleeding artery. 
2Music 
A slur or tie.
‘The ___ equivalent to two semibreves persisted for some time and is still found in the early 18th century in the works of J. J. Fux.’
3Printing 
A character consisting of two or more joined letters, e.g. æ, fl.  
3.1A stroke that joins adjacent letters in writing or printing.",9/17/2019,ligature,,/ˈlɪɡətʃə/ ,
,"c__ NOUN

1Biology 
A thin-walled hollow organ or cavity in an animal or plant, containing a liquid secretion; a sac, vesicle, or bladder.嚢胞
‘In the lumen of the __s, eosinophilic or blue secretions were frequently seen, with sometimes targetoid secretion.’
2Medicine 
A membranous sac or cavity of abnormal character in the body, containing fluid.  
3Zoology 
A tough protective capsule enclosing the larva of a parasitic worm or the resting stage of an organism.",9/18/2019,cyst,,/sɪst/ ,
0 2 6 7,"p__ NOUN

Biochemistry 
Any of a group of compounds with varying hormone-like effects, notably the promotion of uterine contractions. They are cyclic fatty acids.  
‘Aspirin blocks a group of enzymes that synthesize __s, which are hormones that assist in pain, inflammation and blood clotting.’",9/20/2019,prostaglandin,,/ˌprɒstəˈɡlandɪn/ ,
,"NOUN

1A bicycle with seats and pedals for two riders, one behind the other.  
1.1A carriage driven by two animals harnessed one in front of the other.  
1.2A group of two people or machines working together.
‘the Giants had the greatest pitching ___ in baseball history’",9/19/2019,tandem,,,
,"NOUN

1Chemistry 
A compound containing two oxygen atoms bonded together in its molecule or as the anion O₂²⁻
‘the peptide neutralizes free radicals and __s, both of which can prevent cells from operating properly’
‘benzoyl ___’
‘sodium ___’  
1.1mass noun Hydrogen ___, especially as used as a bleach for the hair.
as modifier ‘a ___ blonde’",9/22/2019,peroxide,,/pəˈrɒksʌɪd/ ,
8,"p__ NOUN

mass noun
1Chemistry 
A colourless crystalline compound with basic properties, forming uric acid on oxidation.
A bicyclic compound; chemical formula: C₅H₄N₄  
1.1count noun A substituted derivative of ___, especially the bases adenine and guanine present in DNA.",9/23/2019,purine,,,
0 8,"ADJECTIVE

Having the potential to cause cancer.  
‘There aren't a lot of good in vitro methods to predict ___ potential.’",9/24/2019,carcinogenic,,,
7,"NOUN

mass noun
1A liquid made of shellac dissolved in alcohol, or of synthetic substances, that dries to form a hard protective coating for wood, metal, etc.
‘shot-blasted mild steel finished in grey mottled epoxy ___’
count noun ‘canned __s which dry by solvent evaporation’  
2The sap of the ___ tree used as a varnish.  ",9/25/2019,lacquer,,,
,"NOUN

A salt or ester of nitric acid, containing the anion NO₃⁻ or the group —NO₃
‘preserved meat and vegetables contain __s’
mass noun ‘fish-fry populations are damaged by ___’",9/26/2019,nitrate,,,
7,"NOUN

1Chemistry 
An ion or molecule attached to a metal atom by coordinate bonding. 配位子 
‘The bonding between the ___ and the metal ion is intermediate between covalent and electrostatic.’",9/27/2019,ligand,,/ˈlɪɡ(ə)nd/,
